COUNTRY,COUNTRY id,region,1) Dimension: Civic Engagement,1.1,1.1.1,1.1.2,1.1.3,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.4,1.4.1,1.4.2,1.4.3,1.5,1.5.1,1.5.2,1.5.3,1.6,1.6.1,2) Dimension: Level of organisation,2.1,2.1.1,2.2,2.2.1,2.3,2.3.1,2.3.2,2.4,2.4.1,2.5,2.5.1,2.5.2,2.6,2.6.1,3) Dimension: Practice of Values,3.1,3.1.1,3.2,3.2.1,3.2.2,3.2.3,3.2.4,3.3,3.3.1,3.3.2,3.4,3.4.1,3.5,3.5.1,3.5.2,3.5.3,3.5.4,3.5.5,3.5.6,4) Dimension: Perception of Impact,4.1,4.1.1,4.1.2,4.2,4.2.1,4.2.2,4.3,4.3.1,4.3.2,4.3.3,4.4,4.4.1,4.4.2,4.5,4.5.1,4.5.2,4.6,4.6.1,4.6.2,4.7,4.7.1,4.7.2,4.7.3,4.7.4,5) Contextual Dimension: Environment,5.1,5.1.1,5.1.2,5.1.3,5.1.4,5.2,5.2.1,5.2.2,5.2.3,5.2.4,5.2.5,5.3,5.3.1,5.3.2,5.3.3
Albania,AL,2,47.6,22,18.4,18.1,29.4,29.5,17.3,26.1,45.2,91.7,91.7,27.3,23.7,29.9,28.2,35.1,24.5,34.3,46.5,80,80,58.1,85.2,85.2,73.6,73.6,88.1,86.7,89.5,16.1,16.1,79.7,75.3,84.1,6,6,58.6,52.9,52.9,53.1,73.2,0.5,70.2,68.4,73.6,74.1,73.1,57.1,57.1,56.2,35,81.6,12.5,70,56.4,81.8,51.2,49.8,41.2,58.3,79.8,72.8,86.8,67.6,66.3,78.5,58.1,45.2,25.8,64.5,50.3,60.1,40.6,53.2,75,31.3,12.5,1.9,7.1,8.8,32.4,60.2,68.1,94.3,34,68.9,75.2,61,65,64.6,66.7,66.3,42.4,51.5,7.5,58.6,88.5
Argentina,AR,1,38.8,25,25.9,18.1,31.1,37.8,21.2,16.2,75.9,59.3,59.3,16.4,10.5,7.6,31.1,27,22,16,43.1,67.2,67.2,52.6,92.9,92.9,46.5,46.5,76.8,78.4,75.2,8.6,8.6,69.9,56.2,83.5,20.8,20.8,39.6,74.8,74.8,23.1,27.5,21.6,22.6,20.6,44.2,35.6,52.8,13.1,13.1,42.6,12.6,50,8.8,51.2,71.4,61.8,47.6,41.9,33.2,50.5,62.6,56.4,68.8,50.8,35.7,67.7,48.9,41.6,40.6,42.5,67.5,73.4,61.6,58.3,72.1,44.4,10.6,3,7.1,7.8,24.3,64.6,56.5,98.1,29,48.7,50.3,71.5,80,77.1,91.7,61.5,47.2,65.7,17.6,94,85.6
Armenia,AM,6,37.4,11.9,11.7,8.2,15.9,31.3,14.8,14.5,64.7,70.1,70.1,12,8.5,9.5,17.9,25.8,20.4,28.8,28.1,73.5,73.5,54.9,91.1,91.1,39.4,39.4,67.5,70.9,64,19.1,19.1,80.6,88.5,72.6,31.9,31.9,51.1,62.8,62.8,41.9,43.2,18.5,49.5,56.6,62.1,54.9,69.2,29.2,29.2,59.4,76.8,43.5,13.6,82.2,93.4,46.8,35.1,37.1,26.9,47.2,42.5,37.8,47.2,41.9,18.3,35.2,72.2,23.5,16.4,30.6,47.6,47.6,47.6,38,47.3,28.6,15.2,9.7,11.6,0,39.6,54.2,65.1,95.6,29,66.2,69.5,47.1,35,47.9,41.6,67,43.8,50.4,17.8,42.7,90.7
Belarus,BY,6,43.4,19.6,13.6,15.4,29.7,33.2,14.7,20,65,82.3,82.3,16.4,14,15.9,19.3,20.9,15.6,28.6,18.4,87.8,87.8,51.9,82.8,82.8,53.7,53.7,77.7,78.5,76.9,8.3,8.3,83.1,79.3,86.9,6.1,6.1,45.5,78.7,78.7,28.5,31.6,23.5,33.3,25.8,40,41,38.9,23.3,23.3,56.9,40.7,49.5,29.8,81.1,82.9,57.3,39.5,30.4,36.9,23.9,59.7,52.2,67.2,28,21.4,34.5,,43,34.8,51.1,57,73.7,40.4,42.1,39.5,44.7,16.3,11.5,3,0,50.7,47.6,67,98.9,20,70.3,78.7,23.1,17.5,20.8,0,52.4,24.8,52.6,35.4,51.4,71
Bulgaria,BG,2,39.6,16,8.7,6.7,32.6,29.9,14.6,9.9,65.2,69.7,69.7,17.4,11.3,7.6,33.4,32.3,24.1,20.2,52.6,72.4,72.4,56.1,93.5,93.5,54.9,54.9,71.1,70.8,71.3,30.6,30.6,69.6,63.2,76,16.8,16.8,44.8,70.5,70.5,27,37.4,15.6,33.3,21.9,54.3,32.6,75.9,20.6,20.6,51.4,15.3,93.4,8.5,60,88.6,42.4,43.6,29.6,29.1,30.1,67.8,61.6,73.9,43.5,35.6,38.1,56.9,35.6,25.7,45.5,71.7,86.3,57.1,48.6,57.1,40,8.4,0.5,1,10.9,21.4,63.2,55.3,98.5,36,70.8,15.7,76,90,79.2,91.7,67.1,52,58.2,17.9,65.2,91.6
Chile,CL,1,47.3,44.1,41.5,37.7,53,34.2,30.8,24.3,47.6,89.9,89.9,18.6,10.7,15.9,29.2,25.7,17.8,20.4,39,71.3,71.3,52.3,81.2,81.2,44.3,44.3,79.7,80.7,78.7,14.1,14.1,79.1,74.7,83.5,15.7,15.7,42.6,69.7,69.7,21.9,34.1,5.7,23,25,42.6,41.2,43.9,31,31,47.9,21,40.2,12.5,64.8,85.5,63.2,47,47.2,43.7,50.6,67.2,63.6,70.8,36.1,35.3,45.3,27.7,45,45,45,72.3,84.5,60,47.8,58.8,36.8,13.4,2.9,0,4.5,46.3,71,68.4,99.6,69,45.1,59.7,86.2,97.5,95.8,100,63.5,74.4,58.5,12.4,84.6,78.6
Croatia,HR,2,39.4,14.8,20.7,8.8,,25.6,22.6,28.6,,79.9,79.9,19.3,13.2,4.8,39.8,18.2,15.3,12.5,26.8,78.9,78.9,60,95.2,95.2,75.7,75.7,82.3,79.9,84.7,6.6,6.6,84.5,72.3,96.6,15.7,15.7,41.1,63.3,63.3,26.6,30.8,6.7,18.7,50,46.2,35.1,57.3,13.4,13.4,55.9,31.5,65.1,21.7,59.2,83.6,74.5,43.2,43.2,36.7,49.7,75.7,71.5,80,50.3,47,45.9,58,34.9,31.1,38.7,62.4,85.1,39.7,28.6,34.5,22.6,7.3,12,2.7,0,14.4,64.1,54.1,99.1,44,71,2.3,79.7,87.5,79.2,100,70.9,60.8,58.6,20.1,71.4,84.2
GCC,GCC,,43.6,24.1,14,12.5,45.7,30.4,9.8,12.2,69.1,77.2,77.2,23.5,14,11.9,44.7,23.8,16.3,20.5,34.7,82.5,82.5,59.8,98.9,98.9,80.7,80.7,77.4,72.4,82.4,16.5,16.5,74.8,59.7,89.8,10.6,10.6,46.1,92.9,92.9,28.4,21.4,31.8,27.8,32.7,44.1,28.3,59.8,22.2,22.2,43.1,10.5,67.5,9.7,42.4,66.1,62.4,53.3,51.6,51.9,51.3,78,76.3,79.6,48.6,51.8,38.8,55.2,45.7,42.9,48.5,76.8,86.1,67.6,52.2,64.3,40,20.2,14.3,11.4,0,55,77.1,81.6,99.2,64,,,91,95,93.8,100,88.6,77.4,58.7,14.5,70.4,91.2
Georgia,GE,6,17.6,4.6,3.2,3.6,7.1,17.8,5.3,4.7,43.5,35.8,35.8,6.1,0.8,1,16.4,13,10,0,28.9,28.5,56.5,64.5,94,94,69.3,69.3,83.7,85.1,82.2,43,43,91.1,89.1,93.1,6.1,6.1,63.6,82,82,31.5,17.8,4.1,18.8,85.1,87.7,82.2,93.1,80,80,36.7,33.9,43.5,14,33.8,45.6,49.5,28.8,23.5,22.7,24.2,49.2,33.3,65,40.7,22.2,55.6,44.4,20.3,17.2,23.3,25,33.3,16.7,23.3,33.3,13.3,19.7,3,0.9,29.1,45.6,59,66.5,89.4,39,59.6,78,58,50,56.3,58.3,77.8,47.4,52.7,18.1,47.1,92.8
Ghana,GN,,52.8,78,78,,,36.5,36.5,,,88,88,21.9,31.5,,12.3,28.1,37.1,,19.1,64.6,64.6,62.1,100,100,81.8,81.8,76.5,80,73,17.6,17.6,88.3,81.1,95.5,8.3,8.3,55.4,26.7,26.7,45.5,58,23.1,50,51.1,82.8,77.8,87.8,46,46,75.7,87.6,85.1,11.8,98.6,75.8,95.5,68.7,75.8,77,74.5,88.6,87.5,89.7,51.1,68.2,31.8,53.3,65,58.6,71.4,84.1,81.5,86.7,77.3,82.1,72.4,39.4,74.2,1.2,13.9,68.1,63.5,58.6,66.1,39,59.2,70.1,79.7,92.5,75,91.7,90.4,49.2,52.1,8.5,60.3,87.6
